feature_1,feature_2
39,15
81,15
6,16
77,16
40,17
76,17
6,18
94,18
3,19
72,19
14,19
99,19
15,20
77,20
13,20
79,20
35,21
66,21
29,23
98,23
35,24
73,24
5,25
73,25
14,28
82,28
32,28
61,28
31,29
87,29
4,30
73,30
4,33
92,33
14,33
81,33
17,34
73,34
26,37
75,37
35,38
92,38
36,39
61,39
28,39
65,39
55,40
47,40
42,40
42,40
52,42
60,42
54,43
60,43
45,43
41,43
50,44
46,44
51,46
46,46
56,46
55,46
52,47
59,47
51,48
59,48
50,48
48,48
59,48
47,48
55,49
42,49
49,50
56,50
47,54
54,54
53,54
48,54
52,54
42,54
51,54
55,54
41,54
44,54
57,54
46,54
58,57
55,57
60,58
46,58
55,59
41,59
49,60
40,60
42,60
52,60
47,60
50,60
42,61
49,61
41,62
48,62
59,62
55,62
56,62
42,62
50,63
46,63
43,63
48,63
52,63
54,63
42,64
46,64
48,65
50,65
43,65
59,65
43,67
57,67
56,67
40,67
58,69
91,69
29,70
77,70
35,71
95,71
11,71
75,71
9,71
75,71
34,72
71,72
5,73
88,73
7,73
73,73
10,74
72,74
5,75
93,75
40,76
87,76
12,77
97,77
36,77
74,77
22,78
90,78
17,78
88,78
20,78
76,78
16,78
89,78
1,78
78,78
1,78
73,78
35,79
83,79
5,81
93,81
26,85
75,85
20,86
95,86
27,87
63,87
13,87
75,87
10,87
92,87
13,88
86,88
15,88
69,88
14,93
90,93
32,97
86,97
15,98
88,98
39,99
97,99
24,101
68,101
17,103
85,103
23,103
69,103
8,113
91,113
16,120
79,120
28,126
74,126
18,137
83,137
